rank,gid,role,priority_score,why
1,901245,coordinator,0.98,"Связывает 2 ветки: получает от 902188 и 903470, переводит 5 930 000 ₸ распределителю 904311."
2,902188,consolidator,0.92,8 отправителей сходятся в одной точке; 4 840 000 ₸ направлены координатору.
3,904311,distributor,0.9,Веер из 6 получателей; наблюдаемый исходящий поток 5 600 000 ₸.
4,903470,transit,0.87,В демонстрационной цепочке передаёт 2 100 000 ₸ после получения 2 300 000 ₸.
5,905624,terminal,0.72,Концентрирует 3 780 000 ₸ в конце наблюдаемой ветки; требуется проверить полноту данных.
6,907193,transit,0.7,Связывает 908010 и 906810; исходящий поток 150 000 ₸.
7,906810,peripheral,0.38,"Низкий демонстрационный приоритет: 1 контрагент, объём 150 000 ₸."
8,908001,peripheral,0.34,Демонстрационная позиция 8: выраженной структурной роли в примере не задано.
9,908002,peripheral,0.33,Демонстрационная позиция 9: выраженной структурной роли в примере не задано.
10,908003,peripheral,0.32,Демонстрационная позиция 10: выраженной структурной роли в примере не задано.
11,908004,peripheral,0.31,Демонстрационная позиция 11: выраженной структурной роли в примере не задано.
12,908005,peripheral,0.3,Демонстрационная позиция 12: выраженной структурной роли в примере не задано.
13,908006,peripheral,0.29,Демонстрационная позиция 13: выраженной структурной роли в примере не задано.
14,908007,peripheral,0.28,Демонстрационная позиция 14: выраженной структурной роли в примере не задано.
15,908008,peripheral,0.27,Демонстрационная позиция 15: выраженной структурной роли в примере не задано.
16,908009,peripheral,0.26,Демонстрационная позиция 16: выраженной структурной роли в примере не задано.
17,908010,peripheral,0.25,Демонстрационная позиция 17: выраженной структурной роли в примере не задано.
18,908011,peripheral,0.24,Демонстрационная позиция 18: выраженной структурной роли в примере не задано.
19,908012,peripheral,0.23,Демонстрационная позиция 19: выраженной структурной роли в примере не задано.
20,908013,peripheral,0.22,Демонстрационная позиция 20: выраженной структурной роли в примере не задано.
